brand,name,old_price,new_price,ml,concentration,item_rating,seller,seller_rating,num_seller_ratings
Amazing Creation,Holy Florale Parfum 50ml,"AED, ,130.00","AED, ,92.50, ",wrangle from name,wrangle from name,,noon,4,48.9K
ELIE SAAB,Le Parfum Royal EDP 90ml,"AED, ,581.00","AED, ,196.95, ",wrangle from name,wrangle from name,,noon,4,7.7K
MICALLEF,Mon Parfum Cristal EDP 100ml,"AED, ,230.00, ",,wrangle from name,wrangle from name,,noon,4,48.9K
Amazing Creation,Seta Parfum 50ml,"AED, ,130.00","AED, ,107.00, ",wrangle from name,wrangle from name,,noon,4,48.9K
CLIVE CHRISTIAN,Private Collection L Parfum 50ml,1049.55,944.60,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Mont Blanc,Lady Emblem Eau De Parfum 75ml,"AED, ,153.65, ",,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Seris Parfums,Splendor EDP 100ml,85.56,36.20,wrangle from name,wrangle from name,,noon,4,7.7K
VILILY,Sassy Flora Parfum Collection EDP 25ml,25.50,15.00,wrangle from name,wrangle from name,,Zewa,3.9,757
LALIQUE,Le Parfum EDP 100ml,400.00,103.70,wrangle from name,wrangle from name,,noon,4,7.7K
MUMUSO,Cute Animal Parfum Spray-Bunny 3.5 x 2.4 x 9.4cm,"AED, ,16.90, ",,wrangle from name,wrangle from name,,MUMUSO,4.2,321
MUMUSO,Cute Animal Parfum Spray-Lion Sea 4.3 x 2.3 x 7.9cm,"AED, ,16.90, ",,wrangle from name,wrangle from name,,MUMUSO,4.2,321
Music de Parfum,Pianissimo EDP 50ml,"AED, ,1150.00","AED, ,386.65, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
HISTOIRES de PARFUMS,Rare Edition Vici EDP 60ml,690.00,328.00,wrangle from name,wrangle from name,,DiscountPerfumeWorld,3.4,340
Amazing Creation,Monsieur Eau De Parfum 100ml,"AED, ,116.00","AED, ,104.00, ",wrangle from name,wrangle from name,,noon,4,7.7K
SARAH JESSICA PARKER,Stash Eau de Parfum SJP Spray Fragrance 30ml,"AED, ,999.00, ",,wrangle from name,wrangle from name,,noon,4,7.7K
SARAH JESSICA PARKER,Stash Eau de Parfum SJP Spray Fragrance 50ml,99.95,,wrangle from name,wrangle from name,,noon,4,7.7K
ELIE SAAB,Le Parfum EDP 50ml,"AED, ,416.00","AED, ,163.70, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Givenchy,Dahlia Divin Le Nectar De Parfum EDP Intense 75ml,"AED, ,693.00","AED, ,235.90, ",wrangle from name,wrangle from name,,noon,4,7.7K
Dior,Fahrenheit Le Parfum Spray 75ml,"AED, ,755.00","AED, ,332.60, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
GIORGIO ARMANI,Colonia Mountain Parfum 88ml,"AED, ,82.80, ",,wrangle from name,wrangle from name,,noon,4,7.7K
Givenchy,Dahlia Divin For Women  Eau de Parfum 75ml,"AED, ,245.75, ",,wrangle from name,wrangle from name,,DiscountPerfumeWorld,3.4,340
Ajmal,Aretha Parfum 75ml,"AED, ,74.81","AED, ,60.00, ",wrangle from name,wrangle from name,,Ajmal Perfumes,4.1,34
Yves Rocher,Matin Blanc Eau de Parfum 100ml,"AED, ,348.00","AED, ,194.25, ",wrangle from name,wrangle from name,,Al Shamsi,4,146
BVLGARI,"2-Piece Goldea The Roman Night Eau De Parfum Set 50ml, 15ml","AED, ,284.00","AED, ,166.55, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Ajmal,Supreme Parfum 7g,"AED, ,95.00, ",,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Al Zaabiah,Mukhallat Lamia Parfum 6g,"AED, ,80.00, ",,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Al Zaabiah,Mukhallat Noora Parfum 10g,"AED, ,130.00, ",,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Ajmal,Galaxy Parfum 7g,"AED, ,90.00, ",,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Al Zaabiah,Mukhallat Asayel Parfum 6g,"AED, ,70.00, ",,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Al Zaabiah,Mukhallat Noora Parfum 6g,"AED, ,70.00, ",,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Parfums Gres,Cabotine De Gres EDP 100ml,75.25,44.35,wrangle from name,wrangle from name,,noon,4,7.7K
DHAMMA,Aro-Fac Black Afgano Eau de Parfum 100ml,"AED, ,68.00","AED, ,47.00, ",wrangle from name,wrangle from name,,Dhamma perfumes,4.2,51
Amazing Creation,Endymion Eau De Parfum 100ml,"AED, ,116.00","AED, ,104.95, ",wrangle from name,wrangle from name,,noon,4,7.7K
HISTOIRES de PARFUMS,1725 EDP 120ml,617.00,362.35,wrangle from name,wrangle from name,,DiscountPerfumeWorld,3.4,340
HISTOIRES de PARFUMS,1899 EDP 120ml,571.00,441.00,wrangle from name,wrangle from name,,DiscountPerfumeWorld,3.4,340
DHAMMA,Aro-Fac Ispahani Aoud Eau de Parfum 100ml,"AED, ,150.00","AED, ,47.00, ",wrangle from name,wrangle from name,,Dhamma perfumes,4.2,51
Amazing Creation,Flower Bomb Eau De Parfum 100ml,"AED, ,96.00","AED, ,85.50, ",wrangle from name,wrangle from name,,noon,4,7.7K
Rasasi,Romance Eau De Parfum 45mlml,35.15,,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Al Zaabiah,Baby Love Parfum 50ml,"AED, ,27.00, ",,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
Al Zaabiah,Baby Love Parfum 50ml,"AED, ,27.00, ",,wrangle from name,wrangle from name,,Al Zaabiah Oud Trading,3.8,20
HISTOIRES de PARFUMS,Petroleum Edition Absolu EDP 60ml,529.00,263.00,wrangle from name,wrangle from name,,DiscountPerfumeWorld,3.4,340
Parfums De Marly,Athalia EDP 75ml,640.00,472.60,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Amazing Creation,D'Homme Eau De Parfum 100ml,"AED, ,96.00","AED, ,94.50, ",wrangle from name,wrangle from name,,noon,4,7.7K
