name,Base Note,Colour Name,Country of Origin,Department,Dispenser Type,Grade,Heart/Middle Note,Model Name,link,Fragrance Category,Scents/Notes,Size,Top Note,Fragrance Family,Long Lasting,Model Number,Notes,Scents,Set Includes,Skin Type,Product Line,Aromatherapy Type,Fragrance Notes,Fragrance Type,Ingredients,Fragnance Family,Fragrance Note,Formulation,Occasion,Perfumer,Composition,Height,Width,Depth,Includes,Scent Type,,Volume,Top notes,Middle / Heart Notes,Base notes,Perfume Scent,Anti-perspirant,Non-toxic,Olfactive Family,Fragrance Note Family,Fragrance Segment,Irritation Free,Packaging Type,Paraben Free,Scent,Long-lasting,Introduced Year,Product Dimensions,Shipping Weight,scents_notes,Package Type,Application Area,Anti-Perspirant,Launched,What's In The Box,Dimensions,Weight,Material,Product Height,Product Width/Depth,Scent Notes,Package weight in KGs,Package height,Package Width,Long-Lasting,Key Notes,Scent Family,Dimension,Note,Form,Lanched,Scent Note,Longlasting,Package thickness,Notes Contains,Recommended Usage,Skin type,Country Of Origin,Cruelty Free,Paraben/Sulphate Free,Suitable for the season,Package weight,Cruelty-free,Product Dimension,Colour Family,Container Type,Fragrance Classification,Notes Available,Tope Note,Middle Note,Scent/Notes,Sulfate Free,Suitable For,Scent Life,Fragrance
ELIE SAAB Le Parfum Royal EDP 90ml ,"Indonesian Patchouli Essence, Indian Sandalwood Essence, Amber, Vanilla",Gold,France,Women,Pump,New,"Turkish Rose Absolute, Bulgarian Rose Absolute, Lebanese Neroli",Le Parfum Royal,/uae-en/le-parfum-royal-edp-90ml/N24430947A/p?o=a81f301e74285f0c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LALIQUE Le Parfum EDP 100ml ,"Patchouli, Sandalwood, Tonka Beans, Vanilla",,,Women,Splash,,"Heliotrope, Jasmine",,/uae-en/le-parfum-edp-100ml/N11201336A/p?o=aa968a8186d2e5fa,Oriental,Oriental,100 ml,"Bay Leaf, Bergamot, Pink Pepper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mont Blanc Lady Emblem Eau De Parfum 75ml ,"Raspberry, Musk",Pink/Clear,Germany,Women,Splash,New,"Palisander Rosewood, Patchouli, Sandalwood",Lady Emblem,/uae-en/lady-emblem-eau-de-parfum-75ml/N43861494A/p?o=e023501af5dc98cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seris Parfums Splendor EDP 100ml ,"Tree Moses, Cedar, White Musk and Amberghris",,,Men,Splash,,"Freesia, Lily of The Valley and Magnolia",Seris Parfums,/uae-en/splendor-edp-100ml/N11202261A/p?o=a506ae06be0fe0ee,,,100 ml,"Bergamot, Lemon and Green Notes",Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Holy Florale Parfum 50ml ,"Woody Notes, White Musk, Animal Muck",,,Women,Pump,,"Leafy, Red Fruits, Apricot, Peach",753807552738,/uae-en/holy-florale-parfum-50ml/N37444558A/p?o=c4b3fb286add70df,,Floral,,,,Yes,753807552738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Creation Seta Parfum 50ml ,"Patchouli, Vanilla, Sandal, Peru Balm, Mosses",,,Unisex,Pump,,"Jasmine, Tonka Bean, Clove, Cashmere",753807552752,/uae-en/seta-parfum-50ml/N37444556A/p?o=deca4e199a27923c,,Floral,,,,Yes,753807552752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICALLEF Mon Parfum Cristal EDP 100ml ,"Toffee, Ambergris, Musk",,,Unisex,Splash,,"Bulgarian Rose, Vanilla",,/uae-en/mon-parfum-cristal-edp-100ml/N27531670A/p?o=e0f7fbce7e3751ea,,Vanilla,100 ml,"Cinnamon, Pink Pepper",,,3760060779106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLIVE CHRISTIAN Private Collection L Parfum 50ml ,,,,Men,,,,Private Collection,/uae-en/private-collection-l-parfum-50ml/N20179868A/p?o=d2a932adcf5e598d,,Woody,50 ml,,,,,Woody Oriental With Deep Amber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILILY Sassy Flora Parfum Collection EDP 25ml ,Patchouli And Brown Sugar,,,Women,Pump,,White Gardenia & Frangipani,,/uae-en/sassy-flora-parfum-collection-edp-25ml/N21748355A/p?o=e5622b70c88d0b7e,,,25 ml,Red Berries & Pear,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Music de Parfum Pianissimo EDP 50ml ,"Jasmine, Animal notes and Sweet notes",,France,Unisex,,,,,/uae-en/pianissimo-edp-50ml/N11074521A/p?o=c6a3fc88e4aead9c,,Fruity,50 ml,"Lemon, Coconut and Apple",,,010700008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
